0,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,FL,ME,SC,HC
ACVD,3.429,6.1,6.7,3.957,4.957,7.257,4.471,5.757,7.0,7.886,7.814,1.071
AS,5.682,4.25,5.5,4.5,4.273,6.705,5.409,6.659,7.091,8.045,6.841,1.045
BPA,5.769,5.449,3.09,4.436,3.91,5.936,5.769,6.244,6.872,7.295,6.179,1.051
CL,5.381,6.117,5.985,2.721,3.268,5.864,4.766,6.03,5.97,6.23,6.755,1.113
IBD,5.303,5.436,5.348,3.536,2.31,4.718,4.793,5.278,4.934,5.259,5.825,1.049
IGT,5.936,5.543,5.521,3.936,2.862,3.202,5.191,5.989,5.149,5.968,6.191,1.053
T2D,4.468,6.108,6.198,3.757,3.901,6.135,3.441,6.027,6.514,7.117,6.802,1.081
CI,5.31,5.833,6.214,4.357,4.214,7.619,5.929,3.976,7.238,8.5,6.762,1.119
FL,5.933,6.783,6.45,3.783,2.933,5.367,5.9,6.1,3.75,7.217,7.217,1.183
ME,5.526,5.658,5.579,3.526,2.421,4.789,5.079,5.579,5.632,3.289,5.842,1.132
SC,6.0,4.667,5.1,4.867,5.267,6.233,5.7,5.267,6.4,7.467,3.633,1.033
